id,key,summary
543815,UNBO-3963,Possible to reduce duplication in pre prod smoke tests for Contact US (UK & U.com)
543802,UNBO-3962,Update the monitoring to remove the Kazakh site
543801,UNBO-3961,Update CMDB with the decommissioned Kazakh site
543800,UNBO-3960,Remove domains from the DNS
543799,UNBO-3959,Remove both Kazakh sites from Netlify
543798,UNBO-3958,Add redirect to Akamai to redirect Kazakhstan to Unilever.com
543781,UNBO-3957,For unilever-com-wiop fix auth of QA and Stage sites
543663,UNBO-3956,Review Pulumi instead of Terraform
543567,UNBO-3955,Axe POC - Wire up Dev Hubs 'Axe Watcher' to uol automation framework
543543,UNBO-3954,Review distilled sites results - 2024-06-01
543521,UNBO-3953,Review Panel items link test
543332,UNBO-3952,Enable Akamai logging for all sites
543331,UNBO-3951,Enable Netlify logs
543308,UNBO-3950,Disable Sanity Backup
543190,UNBO-3949,NFR: Verify / demonstrate that Non -functional requirements are captured for all user stories at platform level
543189,UNBO-3948,NFR:  Review and Finalise NFRs (Consumer Based Websites)
543188,UNBO-3947,NFT: Early performance 'Accessibility testing�  POC and building NFT capability
543187,UNBO-3946,NFT:  Early performance Testing POC and building NFT capability
543186,UNBO-3945,NFT:  Accessibility: AXE integration with Automation Pipeline
543185,UNBO-3944,Automation:   BrowserStack integration for compatibility testing
543184,UNBO-3943,Automation: Test Management Tool Integration with automation framework and updating the results back to Jira Zephyr Scale
543183,UNBO-3942,"Go-Live / Release Ticket: Ensure Functional, Non-Functional and UAT TCR and signoff are linked to go-live ticket"
543182,UNBO-3941,Test Case Mapping Ensure Zephyr testcases are mapped to Jira stories so test traceability reports can be generated automatically and Jira test coverage �Realtime� dashboards.
543181,UNBO-3940,Regression- explore the challenge on regression defects created. Are there ways to mitigate this impact?
543180,UNBO-3939,"Integration Testing - map out the current integration points and approaches (i.e. API, file exchange or none)"
543179,UNBO-3938,"Baseline Metrics � establish meaningful metrics to assess quality, efficiency or agility inline with Master Test Strategy"
543178,UNBO-3937,Sprint Retro - Reinstate Sprint retrospective meeting
543177,UNBO-3936,Epic and Stories Creation - Ensure that Epics and Stories are created in the recommended template Epic Writing Story Writing
543176,UNBO-3935,Bug Workflow - Verify the Bug workflow and the mandatory fields and work with QA lead to ensure defects traceability are in place
543175,UNBO-3934,Acceptance Criteria:  Ensure Acceptance are created by BA in BDD format for all the stories
543174,UNBO-3933,Defect RCA:  Perform Qualitative RCA from the current Sprint onwards and capture the outcome in �Sprint Retrospective� Report
543173,UNBO-3932,Test Closure report (TCR): Create Test Closure Reports from Current Release
543172,UNBO-3931,Jira Standardisation: Implement Standardised Workflows and Field configurations
543171,UNBO-3930,Peer Review -  Test Scenarios needs to be reviewed by BA
543170,UNBO-3929,"DoR and DoD - Ensure that DoR and DoD is followed for Epics,  stories, Tasks and Bugs including QA readiness and Closure."
543169,UNBO-3928,Unit Test Results/Reports: Demonstrate that Unit test results are shared with QA and both happy and unhappy paths are covered.
543168,UNBO-3927,Test Data Management - Ensure that the test data approach is documented during the test planning phase adhering to the Test Data Management (CID) compliance guidelines documented in MTS
543167,UNBO-3926,"Sprint Goal / Scope- Ensure that sprint goal, scope of components / work are agreed for every sprint and the process is followed continuously"
543166,UNBO-3925,Zephyr Test Plan - Implement Zephyr Test plan for every release. Currently the team has a common test plan documented that is referred for all releases.
543165,UNBO-3924,Jira Hygiene Dashboard  - Fix all the Jira data issues reported from current sprint onwards
543164,UNBO-3923,Jira Hygiene Dashboard  - Create and publish Jira Hygiene dashboard
543163,UNBO-3922,To-Be Test Process - document the �To Be� test process inline with the 'E2E QA Approach that adopts shift left methodology ' with the agreed process tweaks and changes
543162,UNBO-3921,As-Is Test Process - document the current test process within the Unilever Online  within a confluence page.
542977,UNBO-3920,Update cookie-notice legal test for US region
542976,UNBO-3919,Add custom test for broken external links
542974,UNBO-3918,Update the contact us forms
542972,UNBO-3917,Investigate a consumption plan with Azure and Linux
542970,UNBO-3916,Investigate uploading the function code with terraform
542969,UNBO-3915,Review Azure service role
542868,UNBO-3914,Search - Analytics 
542867,UNBO-3913,Search - Index Languages per site
542866,UNBO-3912,Implement Search as is 
542864,UNBO-3910,add link cloud module into Playbook
542859,UNBO-3909,Text of Title and Body field in Hero Section Module is not wrapped within the box.
542857,UNBO-3908," #AHR0024: ""On this page"" quick links on standards pages"
542818,UNBO-3907,Investigate Akamai CDN and WAF set up
542817,UNBO-3906,Axe POC - Prepare slides with DQM vs Axe Monitor stats
542810,UNBO-3905,Invalid preview config | CMS Sanity
542718,UNBO-3903,"Security issue - Cookie Does Not Contain The ""HTTPOnly"" Attribute"
542717,UNBO-3902,"Security issue - Cookie Does Not Contain The ""secure"" Attribute"
542716,UNBO-3901,Security issue - Predictable Resource Location Via Forced Browsing
542715,UNBO-3900,Security issue - open redirect
542714,UNBO-3899,Security issue - open redirect
